time,open,high,low,close,volume
7/5/2024,57043.9,57434.94,53761.07,56691.34,1.23E+11
7/4/2024,60208.62,60465.72,56809.43,57142,1.02E+11
7/3/2024,62127.99,62285.9,59521.02,60294.75,87751477173
7/2/2024,62906,63243.07,61816.25,62127.95,83918670306
7/1/2024,62771.97,63844.24,62597.62,62889.92,86017960842
6/30/2024,60986.67,62990.1,60660.77,62849.53,72644110249
6/29/2024,60427.81,61210,60426.02,60964.17,81524470018
6/28/2024,61617.14,62200.29,60080,60427.86,86177794784
6/27/2024,60854.02,62338.43,60666.19,61646.05,1.22E+11
6/26/2024,61804.76,62357.58,60761.24,60761.24,1.02E+11
6/25/2024,60297.21,62231.16,60272.58,61789.98,1.05E+11
